Index,BNN,CNN
1,0.264,0.298
2,0.212,0.284
3,0.191,0.235
4,0.208,0.212
5,0.229,0.212
6,0.224,0.232
7,0.199,0.208
8,0.189,0.211
9,0.193,0.210
10,0.238,0.239
11,0.207,0.224
12,0.199,0.280
13,0.199,0.222
14,0.204,0.207
15,0.172,0.227
16,0.203,0.203
17,0.209,0.217
18,0.230,0.209
19,0.197,0.213
20,0.189,0.234
21,0.187,0.229
22,0.180,0.200
23,0.182,0.203
24,0.187,0.213
25,0.194,0.218
26,0.198,0.211
27,0.183,0.206
28,0.207,0.210
29,0.181,0.225
30,0.190,0.202
31,0.193,0.218
32,0.173,0.203
33,0.178,0.202
34,0.188,0.207
35,0.191,0.207
36,0.185,0.217
37,0.192,0.203
38,0.170,0.206
39,0.150,0.203
40,0.155,0.219
41,0.150,0.218
42,0.154,0.207
43,0.155,0.204
44,0.152,0.220
45,0.155,0.216
46,0.155,0.210
47,0.151,0.217
48,0.150,0.198
49,0.154,0.199
50,0.150,0.221
51,0.153,0.221
52,0.153,0.204
53,0.152,0.206
54,0.162,0.203
55,0.153,0.205
56,0.154,0.214
57,0.149,0.211
58,0.152,0.202
59,0.178,0.200
60,0.153,0.216
61,0.151,0.206
62,0.155,0.220
63,0.153,0.254
64,0.171,0.221
65,0.149,0.222
66,0.153,0.230
67,0.152,0.211
68,0.145,0.213
69,0.170,0.242
70,0.146,0.206
71,0.146,0.224
72,0.148,0.215
73,0.148,0.217
74,0.151,0.249
75,0.169,0.223
76,0.175,0.228
77,0.178,0.221
78,0.174,0.251
79,0.179,0.222
80,0.172,0.237
81,0.176,0.235
82,0.175,0.216
83,0.176,0.213
84,0.171,0.215
85,0.173,0.222
86,0.175,0.228
87,0.170,0.221
88,0.173,0.219
89,0.174,0.234
90,0.166,0.204
91,0.171,0.186
92,0.167,0.192
93,0.159,0.197
94,0.163,0.191
95,0.158,0.244
96,0.161,0.182
97,0.159,0.177
98,0.160,0.180
99,0.155,0.214
100,0.160,0.188
